interval_15min,frequency
2022-05-28,0.5304557283723959
2022-05-29,0.0
2022-05-30,35.15143684488282
2022-05-31,34.695720558515625
2022-06-01,35.459019250551215
2022-06-02,36.92235265789062
2022-06-03,34.320230109236114
2022-06-04,1.7640234521918403
2022-06-05,0.22471354073784722
2022-06-06,7.400004426749132
2022-06-07,35.6328473512283
2022-06-08,34.86703576727951
2022-06-09,36.79563382948785
2022-06-10,32.97598545625
2022-06-11,0.22442708412326387
2022-06-12,0.25606770813368057
2022-06-13,36.046337011462676
2022-06-14,34.64522158802083
2022-06-15,33.894041003029514
2022-06-16,35.081684138489585
2022-06-17,33.03095059370226
2022-06-18,0.0
2022-06-19,0.30276909634548616
2022-06-20,33.64329879109809
2022-06-21,35.25082048971788
2022-06-22,34.9607900815842
2022-06-23,34.82734379158854
